Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Programmable disaggregated multi-dimensional S-BVT as an enabler for high capacity optical metro networks,L. Nadal; J. M. Fabrega; M. S. Moreolo; F. J. Vilchez; R. Casellas; R. Munoz; R. Vilalta; R. Martinez,IEEE/OSA Journal of Optical Communications and Networking,2021,13,6,C31,C40,,10.1364/JOCN.417766,,IEEE
PESKEA: Anomaly Detection Framework for Profiling Kernel Event Attributes in Embedded Systems,O. M. Ezeme; A. Azim; Q. H. Mahmoud,IEEE Transactions on Emerging Topics in Computing,2021,9,2,957,971,,10.1109/TETC.2020.2971251,Context modeling;anomaly detection framework;embedded operating system;machine learning,IEEE
MIGRATE: Mobile Device Virtualisation Through State Transfer,J. Santa; J. Ortiz; P. J. Fernandez; M. Luis; C. Gomes; J. Oliveira; D. Gomes; R. Sanchez-Iborra; S. Sargento; A. F. Skarmeta,IEEE Access,2020,8,,25848,25862,,10.1109/ACCESS.2020.2971090,NFV;migration;mobility;computing offloading;5G;multi-access edge computing;experimentation;data collection,IEEE
Large Delay Analog Trojans: A Silent Fabrication-Time Attack Exploiting Analog Modalities,T. Yang; A. Mittal; Y. Fei; A. Shrivastava,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2021,29,1,124,135,,10.1109/TVLSI.2020.3034878,Analog Trojan;gate-oxide leakage;hardware security;hardware Trojan (HT),IEEE
Exploiting MOS Parametric Amplification to Suppress Noise in Switched-Capacitor RF Receivers,K. Badiyari; N. Nallam,IEEE Transactions on Microwave Theory and Techniques,2020,68,12,5347,5358,,10.1109/TMTT.2020.3017752,Complementary DTPA;discrete-time (DT) parametric amplifier;DT receiver;sampling mixer;software-defined radio;switched-capacitor (SC) receiver,IEEE
Optimizing Energy in Non-Preemptive Mixed-Criticality Scheduling by Exploiting Probabilistic Information,A. Bhuiyan; F. Reghenzani; W. Fornaciari; Z. Guo,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,11,3906,3917,,10.1109/TCAD.2020.3012231,Embedded software;real-time systems;scheduling algorithms,IEEE
SMSIR: Spherical Measure Based Spherical Image Representation,G. Wu; Y. Shi; X. Sun; J. Wang; B. Yin,IEEE Transactions on Image Processing,2021,30,,6377,6391,,10.1109/TIP.2021.3079797,Spherical images;spherical measure;indexing scheme;image resampling;spherical RBF,IEEE
Scenario-Based Online Reachability Validation for CPS Fault Prediction,L. Bu; Q. Wang; X. Ren; S. Xing; X. Li,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,10,2081,2094,,10.1109/TCAD.2019.2935062,Communication-based train control (CBTC) cyber-physical system (CPS);linear hybrid automata (LHA);online modeling and verification;scenario reachability validation,IEEE
ATMFN: Adaptive-Threshold-Based Multi-Model Fusion Network for Compressed Face Hallucination,K. Jiang; Z. Wang; P. Yi; G. Wang; K. Gu; J. Jiang,IEEE Transactions on Multimedia,2020,22,10,2734,2747,,10.1109/TMM.2019.2960586,Threshold-based fusion network;attention mechanism;ensemble learning;compressed face hallucination,IEEE
Embedding Encoder-Decoder With Attention Mechanism for Monaural Speech Enhancement,T. Lan; W. Ye; Y. Lyu; J. Zhang; Q. Liu,IEEE Access,2020,8,,96677,96685,,10.1109/ACCESS.2020.2995346,Speech enhancement;embedding encoder-decoder;convolutional neural network;attention mechanism;neural network,IEEE
Progressive Cross-Camera Soft-Label Learning for Semi-Supervised Person Re-Identification,L. Qi; L. Wang; J. Huo; Y. Shi; Y. Gao,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,9,2815,2829,,10.1109/TCSVT.2020.2983600,Person re-identification;semi-supervised;progressive cross-camera soft-label learning,IEEE
Learning Joint and Specific Patterns: A Unified Sparse Representation for Off-the-Person ECG Biometric Recognition,Y. Huang; G. Yang; K. Wang; H. Liu; Y. Yin,IEEE Transactions on Information Forensics and Security,2021,16,,147,160,,10.1109/TIFS.2020.3006384,Off-the-person ECG biometric recognition;joint and specific pattern;unified sparse representation;pairwise constraints,IEEE
Towards Thwarting Template Side-Channel Attacks in Secure Cloud Deduplications,Y. Zhang; Y. Mao; M. Xu; F. Xu; S. Zhong,IEEE Transactions on Dependable and Secure Computing,2021,18,3,1008,1018,,10.1109/TDSC.2019.2911502,Cloud;secure deduplication;privacy;proofs of ownership,IEEE
Deep Multiple Metric Learning for Time Series Classification,Z. Chen; Y. Liu; J. Zhu; Y. Zhang; Q. Li; R. Jin; X. He,IEEE Access,2021,9,,17829,17842,,10.1109/ACCESS.2021.3053703,Adversarial training;deep learning;metric learning;time series classification,IEEE
A Unified Model-Based Framework for the Simplified Execution of Static and Dynamic Assertion-Based Verification,M. W. Anwar; M. Rashid; F. Azam; A. Naeem; M. Kashif; W. H. Butt,IEEE Access,2020,8,,104407,104431,,10.1109/ACCESS.2020.2999544,Assertion based verification;computation tree logic;embedded systems;model based system engineering;systemverilog assertions;timed automata;unified modeling language (UML),IEEE
Process-Aware Enterprise Social Network Prediction and Experiment Using LSTM Neural Network Models,D. -L. Pham; H. Ahn; K. -S. Kim; K. P. Kim,IEEE Access,2021,9,,57922,57940,,10.1109/ACCESS.2021.3071789,Process mining;long short-term memory neural network;process-aware enterprise social network;next event prediction,IEEE
Adversarial Mobility Learning for Human Trajectory Classification,Q. Gao; F. Zhang; F. Yao; A. Li; L. Mei; F. Zhou,IEEE Access,2020,8,,20563,20576,,10.1109/ACCESS.2020.2968935,Trajectory user linking;adversarial model;autoencoder;attention mechanism;human mobility,IEEE
A Hybrid Access Control Model With Dynamic COI for Secure Localization of Satellite and IoT-Based Vehicles,M. U. Aftab; Y. Munir; A. Oluwasanmi; Z. Qin; M. H. Aziz; Zakria; N. T. Son; V. D. Tran,IEEE Access,2020,8,,24196,24208,,10.1109/ACCESS.2020.2969715,Access control;hybrid access control;secure vehicle localization;machine learning;neural networks;Internet of Things,IEEE
Parallel Backscatter: Channel Estimation and Beyond,M. Jin; Y. He; C. Jiang; Y. Liu,IEEE/ACM Transactions on Networking,2021,29,3,1128,1140,,10.1109/TNET.2021.3058977,Backscatter;wireless sensing;channel estimation;parallel transmission,IEEE
MESH: A Flexible Manifold-Embedded Semantic Hashing for Cross-Modal Retrieval,F. Zhong; G. Wang; Z. Chen; F. Xia,IEEE Access,2020,8,,147569,147579,,10.1109/ACCESS.2020.3015528,Cross-modal hashing;manifold embedding;semantic;discrete optimization,IEEE
Decomposition-Based Multiobjective Evolutionary Algorithm With Genetically Hybrid Differential Evolution Strategy,N. Luo; W. Lin; G. Jin; C. Jiang; J. Chen,IEEE Access,2021,9,,2428,2442,,10.1109/ACCESS.2020.3047699,Multiobjective optimization;decomposition;recombination operator;differential evolution,IEEE
Spatio-Temporal Attention Networks for Action Recognition and Detection,J. Li; X. Liu; W. Zhang; M. Zhang; J. Song; N. Sebe,IEEE Transactions on Multimedia,2020,22,11,2990,3001,,10.1109/TMM.2020.2965434,3D CNN;spatio-temporal attention;temporal attention;spatial attention;action recognition;action detection,IEEE
Blockchain-Based Edge Computing Resource Allocation in IoT: A Deep Reinforcement Learning Approach,Y. He; Y. Wang; C. Qiu; Q. Lin; J. Li; Z. Ming,IEEE Internet of Things Journal,2021,8,4,2226,2237,,10.1109/JIOT.2020.3035437,Asynchronous advantage actor–critic (A3C) algorithm;blockchain;edge-centric computing;Internet of Things (IoT),IEEE
Learning Adaptive Neighborhood Graph on Grassmann Manifolds for Video/Image-Set Subspace Clustering,B. Wang; Y. Hu; J. Gao; Y. Sun; F. Ju; B. Yin,IEEE Transactions on Multimedia,2021,23,,216,227,,10.1109/TMM.2020.2975394,Subspace clustering;Grassmann manifolds;adaptive neighborhood regularization,IEEE
Collaborative Unsupervised Domain Adaptation for Medical Image Diagnosis,Y. Zhang; Y. Wei; Q. Wu; P. Zhao; S. Niu; J. Huang; M. Tan,IEEE Transactions on Image Processing,2020,29,,7834,7844,,10.1109/TIP.2020.3006377,Unsupervised domain adaptation;deep learning;label noise;medical image diagnosis,IEEE
Reachability Analysis of Networked Finite State Machine With Communication Losses: A Switched Perspective,Z. Zhang; C. Xia; S. Chen; T. Yang; Z. Chen,IEEE Journal on Selected Areas in Communications,2020,38,5,845,853,,10.1109/JSAC.2020.2980920,Logical dynamical systems;industrial Internet-of-Things networks;semi-tensor product of matrices;communication interfaces;reachability;arbitrary communication losses,IEEE
Knowledge Graphs in Manufacturing and Production: A Systematic Literature Review,G. Buchgeher; D. Gabauer; J. Martinez-Gil; L. Ehrlinger,IEEE Access,2021,9,,55537,55554,,10.1109/ACCESS.2021.3070395,Knowledge graphs;manufacturing;production;systematic literature review,IEEE
Harmonic Loss Function for Sensor-Based Human Activity Recognition Based on LSTM Recurrent Neural Networks,Y. Hu; X. Zhang; L. Xu; F. Xian He; Z. Tian; W. She; W. Liu,IEEE Access,2020,8,,135617,135627,,10.1109/ACCESS.2020.3003162,Human activity recognition;label replication;harmonic loss;LSTM,IEEE
Distributed Complementary Binary Quantization for Joint Hash Table Learning,X. Liu; Q. Fu; D. Wang; X. Bai; X. Wu; D. Tao,IEEE Transactions on Neural Networks and Learning Systems,2020,31,12,5312,5323,,10.1109/TNNLS.2020.2965992,Binary quantization;distributed learning;joint indexing;nearest neighbor search;prototype-based hashing,IEEE
Transforming UTE-mDixon MR Abdomen-Pelvis Images Into CT by Jointly Leveraging Prior Knowledge and Partial Supervision,P. Qian; J. Zheng; Q. Zheng; Y. Liu; T. Wang; R. Al Helo; A. Baydoun; N. Avril; R. J. Ellis; H. Friel; M. S. Traughber; A. Devaraj; B. Traughber; R. F. Muzic,IEEE/ACM Transactions on Computational Biology and Bioinformatics,2021,18,1,70,82,,10.1109/TCBB.2020.2979841,Abdomen;intelligent transformation;machine learning;medical images;MR;pelvis;synthetic CT,IEEE
SPCSS: Social Network Based Privacy-Preserving Criminal Suspects Sensing,J. Xu; A. Wang; J. Wu; C. Wang; R. Wang; F. Zhou,IEEE Transactions on Computational Social Systems,2020,7,1,261,274,,10.1109/TCSS.2019.2960857,Classifier;criminal suspects analysis;decision tree;privacy-preserving;social network,IEEE
Transfer to Rank for Top-N Recommendation,W. Dai; Q. Zhang; W. Pan; Z. Ming,IEEE Transactions on Big Data,2020,6,4,770,779,,10.1109/TBDATA.2019.2892478,Transfer to rank;top-N recommendation;transfer learning;collaborative filtering,IEEE
Deep Learning Based Autonomous Vehicle Super Resolution DOA Estimation for Safety Driving,L. Wan; Y. Sun; L. Sun; Z. Ning; J. J. P. C. Rodrigues,IEEE Transactions on Intelligent Transportation Systems,2021,22,7,4301,4315,,10.1109/TITS.2020.3009223,Safety driving;deep learning;massive MIMO;autonomous vehicles;super resolution DOA estimation,IEEE
Maximizing Network Reliability to 0-Day Exploits Through a Heterogeneous Node Migration Strategy,Y. Prieto; M. Figueroa; J. E. Pezoa,IEEE Access,2021,9,,97747,97759,,10.1109/ACCESS.2021.3095149,Network diversity;network reliability;0-day vulnerabilities;connected components,IEEE
Exploiting Blockage in VLC Networks Through User Rotations,J. Beysens; Q. Wang; S. Pollin,IEEE Open Journal of the Communications Society,2020,1,,1084,1099,,10.1109/OJCOMS.2020.3010021,Blockage;robust;user-in-the-loop;user rotation;visible light communication.,IEEE
Keeping Host Sanity for Security of the SCADA Systems,J. Lee; S. Hong,IEEE Access,2020,8,,62954,62968,,10.1109/ACCESS.2020.2983179,SCADA security;malware;DLL injection;code injection;host system security,IEEE
Programmable VCSEL-based photonic system architecture for future agile Tb/s metro networks,M. S. Moreolo; J. M. Fabrega; L. Nadal; R. Martinez; R. Casellas; J. Vilchez; R. Munoz; R. Vilalta; A. Gatto; P. Parolari; P. Boffi; C. Neumeyr; D. Larrabeiti; G. Otero; J. P. Fernandez-Palacios,IEEE/OSA Journal of Optical Communications and Networking,2021,13,2,A187,A199,,10.1364/JOCN.411964,,IEEE
Detecting Hardware-Assisted Virtualization With Inconspicuous Features,Z. Zhang; Y. Cheng; Y. Gao; S. Nepal; D. Liu; Y. Zou,IEEE Transactions on Information Forensics and Security,2021,16,,16,27,,10.1109/TIFS.2020.3004264,Virtualization-based malware analysis;microarchitectural timing;virtual machine-based rootkit;virtualization detection,IEEE
Reliability of Small Satellite Networks With Software-Defined Radio and Enhanced Multiple Access Protocol,S. Jung; J. P. Choi,IEEE Transactions on Aerospace and Electronic Systems,2021,57,3,1891,1902,,10.1109/TAES.2021.3050652,Global network;multiple access protocol;reliability;satellite communication;small satellite;software-defined radio (SDR),IEEE
Turbo Modulation Identification Algorithm for OFDM Software-Defined Radios,M. Marey; H. Mostafa,IEEE Communications Letters,2021,25,5,1707,1711,,10.1109/LCOMM.2021.3054590,Modulation identification;OFDM;software-defined radios;BICM-ID,IEEE
Simplified Stream Reservation Protocol Over Software-Defined Networks for In-Vehicle Time-Sensitive Networking,S. Nam; H. Kim; S. -G. Min,IEEE Access,2021,9,,84700,84711,,10.1109/ACCESS.2021.3088288,In-vehicle communication;software-defined networking (SDN);stream reservation protocol (SRP);time-sensitive networking (TSN),IEEE
Task Allocation Framework For Software-Defined Fog v-RAN,C. M. Moreira; G. Kaddoum; J. -Y. Baek; B. Selim,IEEE Internet of Things Journal,2021,8,18,14187,14201,,10.1109/JIOT.2021.3068878,5G;ant colony optimization (ACO);fog computing;Internet of Things (IoT);max–min;software-defined network (SDN);task allocation;task scheduling;virtual radio access network (v-RAN),IEEE
A Programmable Heterogeneous Microprocessor Based on Bit-Scalable In-Memory Computing,H. Jia; H. Valavi; Y. Tang; J. Zhang; N. Verma,IEEE Journal of Solid-State Circuits,2020,55,9,2609,2621,,10.1109/JSSC.2020.2987714,Charge-domain compute;deep learning;hardware accelerators;in-memory computing (IMC);neural networks (NNs),IEEE
A Scalable and Error-Tolerant Solution for Traffic Matrix Assessment in Hybrid IP/SDN Networks,J. Galán-Jiménez; M. Polverini; A. Cianfrani,IEEE Transactions on Network and Service Management,2020,17,1,251,264,,10.1109/TNSM.2019.2939889,Traffic matrix assessment;software-defined networks;hybrid IP/SDN;opendaylight,IEEE
SDN-Enabled Secure IoT Architecture,K. K. Karmakar; V. Varadharajan; S. Nepal; U. Tupakula,IEEE Internet of Things Journal,2021,8,8,6549,6564,,10.1109/JIOT.2020.3043740,Internet of Things (IoT) security;IoT authentication and access control;policy-based secure IoT architecture;software-defined network (SDN) security,IEEE
Experimental Analysis of Block-Sparsity-Based Spectrum Sensing Techniques for Cognitive Radar,A. Aubry; V. Carotenuto; A. De Maio; M. A. Govoni; A. Farina,IEEE Transactions on Aerospace and Electronic Systems,2021,57,1,355,370,,10.1109/TAES.2020.3021810,Block sparsity;cognitive radar;multichannel coherent receiver;software-defined radio (SDR);spectrum sensing;spectrum sharing,IEEE
Tuple Space Assisted Packet Classification With High Performance on Both Search and Update,W. Li; T. Yang; O. Rottenstreich; X. Li; G. Xie; H. Li; B. Vamanan; D. Li; H. Lin,IEEE Journal on Selected Areas in Communications,2020,38,7,1555,1569,,10.1109/JSAC.2020.2986935,Packet classification;SDN;openflow;open vswitch;virtualization,IEEE
A Novel Stealthy Attack to Gather SDN Configuration-Information,M. Conti; F. De Gaspari; L. V. Mancini,IEEE Transactions on Emerging Topics in Computing,2020,8,2,328,340,,10.1109/TETC.2018.2806977,SDN;side-channel;stealth information-gathering,IEEE
Object-Aware Multimodal Named Entity Recognition in Social Media Posts With Adversarial Learning,C. Zheng; Z. Wu; T. Wang; Y. Cai; Q. Li,IEEE Transactions on Multimedia,2021,23,,2520,2532,,10.1109/TMM.2020.3013398,Named entity recognition;social media posts;adversarial training;bilinear attention network,IEEE
Feature-Level Attentive Neural Model for Session-Based Recommendation,Q. Yang; P. Luo; X. Cheng; N. Li; J. Zhang,IEEE Access,2020,8,,132582,132591,,10.1109/ACCESS.2020.3010590,Feature-level;interest drift;multi-head attention mechanism;session-based recommendation,IEEE
